uid,boundary
764,"POLYGON((0.051345614545833 51.4433774978418, 0.049789686832306 51.4428175855022, 0.049789686832306 51.4416977402285, 0.051345614545833 51.4411378072944, 0.052901542259361 51.4416977402285, 0.052901542259361 51.4428175855022, 0.051345614545833 51.4433774978418))"
765,"POLYGON((-0.045121903692857 51.4433774978418, -0.046677831406385 51.4428175855022, -0.046677831406385 51.4416977402285, -0.045121903692857 51.4411378072944, -0.04356597597933 51.4416977402285, -0.04356597597933 51.4428175855022, -0.045121903692857 51.4433774978418))"
766,"POLYGON((-0.154036843639766 51.4433774978417, -0.155592771353293 51.4428175855022, -0.155592771353293 51.4416977402285, -0.154036843639766 51.4411378072944, -0.152480915926239 51.4416977402285, -0.152480915926239 51.4428175855022, -0.154036843639766 51.4433774978417))"
767,"POLYGON((-0.06068118082813 51.4433774978417, -0.062237108541657 51.4428175855022, -0.062237108541657 51.4416977402285, -0.06068118082813 51.4411378072944, -0.059125253114603 51.4416977402285, -0.059125253114603 51.4428175855022, -0.06068118082813 51.4433774978417))"
768,"POLYGON((-0.144701277358602 51.4433774978418, -0.14625720507213 51.4428175855022, -0.14625720507213 51.4416977402285, -0.144701277358602 51.4411378072944, -0.143145349645075 51.4416977402285, -0.143145349645075 51.4428175855022, -0.144701277358602 51.4433774978418))"
769,"POLYGON((-0.188267253337366 51.4433774978418, -0.189823181050893 51.4428175855022, -0.189823181050893 51.4416977402285, -0.188267253337366 51.4411378072944, -0.186711325623839 51.4416977402285, -0.186711325623839 51.4428175855022, -0.188267253337366 51.4433774978418))"
770,"POLYGON((0.004667783140015 51.4433774978418, 0.003111855426488 51.4428175855022, 0.003111855426488 51.4416977402285, 0.004667783140015 51.4411378072944, 0.006223710853543 51.4416977402285, 0.006223710853543 51.4428175855022, 0.004667783140015 51.4433774978418))"
771,"POLYGON((0.13847756650336 51.4433774978417, 0.136921638789833 51.4428175855022, 0.136921638789833 51.4416977402285, 0.13847756650336 51.4411378072944, 0.140033494216888 51.4416977402285, 0.140033494216888 51.4428175855022, 0.13847756650336 51.4433774978417))"
772,"POLYGON((-0.048233759119912 51.4433774978418, -0.049789686833439 51.4428175855022, -0.049789686833439 51.4416977402285, -0.048233759119912 51.4411378072944, -0.046677831406385 51.4416977402285, -0.046677831406385 51.4428175855022, -0.048233759119912 51.4433774978418))"
773,"POLYGON((-0.066904891682239 51.4433774978417, -0.068460819395766 51.4428175855022, -0.068460819395766 51.4416977402285, -0.066904891682239 51.4411378072944, -0.065348963968712 51.4416977402285, -0.065348963968712 51.4428175855022, -0.066904891682239 51.4433774978417))"
774,"POLYGON((-0.185155397910312 51.4433774978418, -0.186711325623839 51.4428175855022, -0.186711325623839 51.4416977402285, -0.185155397910312 51.4411378072944, -0.183599470196784 51.4416977402285, -0.183599470196784 51.4428175855022, -0.185155397910312 51.4433774978418))"
775,"POLYGON((-0.076240457963403 51.4433774978418, -0.07779638567693 51.4428175855022, -0.07779638567693 51.4416977402285, -0.076240457963403 51.4411378072944, -0.074684530249875 51.4416977402285, -0.074684530249875 51.4428175855022, -0.076240457963403 51.4433774978418))"
776,"POLYGON((0.122918289368088 51.4433774978418, 0.12136236165456 51.4428175855022, 0.12136236165456 51.4416977402285, 0.122918289368088 51.4411378072944, 0.124474217081615 51.4416977402285, 0.124474217081615 51.4428175855022, 0.122918289368088 51.4433774978418))"
777,"POLYGON((-0.071572674822821 51.445057193672, -0.073128602536348 51.4444973019267, -0.073128602536348 51.4433774978418, -0.071572674822821 51.4428175855022, -0.070016747109294 51.4433774978418, -0.070016747109294 51.4444973019267, -0.071572674822821 51.445057193672))"
778,"POLYGON((-0.059125253114603 51.445057193672, -0.06068118082813 51.4444973019267, -0.06068118082813 51.4433774978417, -0.059125253114603 51.4428175855022, -0.057569325401075 51.4433774978417, -0.057569325401075 51.4444973019267, -0.059125253114603 51.445057193672))"
779,"POLYGON((0.003111855426488 51.445057193672, 0.001555927712961 51.4444973019267, 0.001555927712961 51.4433774978418, 0.003111855426488 51.4428175855022, 0.004667783140015 51.4433774978418, 0.004667783140015 51.4444973019267, 0.003111855426488 51.445057193672))"
780,"POLYGON((0.12758607250867 51.445057193672, 0.126030144795142 51.4444973019267, 0.126030144795142 51.4433774978418, 0.12758607250867 51.4428175855022, 0.129142000222197 51.4433774978418, 0.129142000222197 51.4444973019267, 0.12758607250867 51.445057193672))"
781,"POLYGON((0.099579373665179 51.445057193672, 0.098023445951651 51.4444973019267, 0.098023445951651 51.4433774978418, 0.099579373665179 51.4428175855022, 0.101135301378706 51.4433774978418, 0.101135301378706 51.4444973019267, 0.099579373665179 51.445057193672))"
782,"POLYGON((-0.021782987989948 51.445057193672, -0.023338915703476 51.4444973019267, -0.023338915703476 51.4433774978418, -0.021782987989948 51.4428175855022, -0.020227060276421 51.4433774978418, -0.020227060276421 51.4444973019267, -0.021782987989948 51.445057193672))"
783,"POLYGON((-0.196046891905003 51.445057193672, -0.19760281961853 51.4444973019267, -0.19760281961853 51.4433774978418, -0.196046891905003 51.4428175855022, -0.194490964191475 51.4433774978418, -0.194490964191475 51.4444973019267, -0.196046891905003 51.445057193672))"
784,"POLYGON((0.009335566280597 51.445057193672, 0.00777963856707 51.4444973019267, 0.00777963856707 51.4433774978417, 0.009335566280597 51.4428175855022, 0.010891493994124 51.4433774978418, 0.010891493994124 51.4444973019267, 0.009335566280597 51.445057193672))"
785,"POLYGON((0.136921638789833 51.445057193672, 0.135365711076306 51.4444973019267, 0.135365711076306 51.4433774978418, 0.136921638789833 51.4428175855022, 0.13847756650336 51.4433774978417, 0.13847756650336 51.4444973019267, 0.136921638789833 51.445057193672))"
786,"POLYGON((-0.127586072509803 51.445057193672, -0.12914200022333 51.4444973019267, -0.12914200022333 51.4433774978418, -0.127586072509803 51.4428175855022, -0.126030144796275 51.4433774978417, -0.126030144796275 51.4444973019267, -0.127586072509803 51.445057193672))"
787,"POLYGON((-5.66511702004079e-13 51.445057193672, -0.001555927714094 51.4444973019267, -0.001555927714094 51.4433774978418, -5.66511702004079e-13 51.4428175855022, 0.001555927712961 51.4433774978418, 0.001555927712961 51.4444973019267, -5.66511702004079e-13 51.445057193672))"
788,"POLYGON((0.12136236165456 51.445057193672, 0.119806433941033 51.4444973019267, 0.119806433941033 51.4433774978418, 0.12136236165456 51.4428175855022, 0.122918289368088 51.4433774978418, 0.122918289368088 51.4444973019267, 0.12136236165456 51.445057193672))"
789,"POLYGON((-0.152480915926239 51.445057193672, -0.154036843639766 51.4444973019267, -0.154036843639766 51.4433774978417, -0.152480915926239 51.4428175855022, -0.150924988212712 51.4433774978418, -0.150924988212712 51.4444973019267, -0.152480915926239 51.445057193672))"
790,"POLYGON((0.090243807384015 51.445057193672, 0.088687879670488 51.4444973019267, 0.088687879670488 51.4433774978418, 0.090243807384015 51.4428175855022, 0.091799735097542 51.4433774978418, 0.091799735097542 51.4444973019267, 0.090243807384015 51.445057193672))"
791,"POLYGON((-0.115138650801584 51.445057193672, -0.116694578515112 51.4444973019267, -0.116694578515112 51.4433774978418, -0.115138650801584 51.4428175855022, -0.113582723088057 51.4433774978418, -0.113582723088057 51.4444973019267, -0.115138650801584 51.445057193672))"
792,"POLYGON((-0.158704626780348 51.445057193672, -0.160260554493875 51.4444973019267, -0.160260554493875 51.4433774978418, -0.158704626780348 51.4428175855022, -0.157148699066821 51.4433774978418, -0.157148699066821 51.4444973019267, -0.158704626780348 51.445057193672))"
793,"POLYGON((0.043565975978197 51.445057193672, 0.04201004826467 51.4444973019267, 0.04201004826467 51.4433774978418, 0.043565975978197 51.4428175855022, 0.045121903691724 51.4433774978418, 0.045121903691724 51.4444973019267, 0.043565975978197 51.445057193672))"
794,"POLYGON((-0.105803084520421 51.445057193672, -0.107359012233948 51.4444973019267, -0.107359012233948 51.4433774978418, -0.105803084520421 51.4428175855022, -0.104247156806894 51.4433774978417, -0.104247156806894 51.4444973019267, -0.105803084520421 51.445057193672))"
795,"POLYGON((-0.052901542260494 51.445057193672, -0.054457469974021 51.4444973019267, -0.054457469974021 51.4433774978418, -0.052901542260494 51.4428175855022, -0.051345614546966 51.4433774978418, -0.051345614546966 51.4444973019267, -0.052901542260494 51.445057193672))"
796,"POLYGON((0.062237108540524 51.445057193672, 0.060681180826997 51.4444973019267, 0.060681180826997 51.4433774978418, 0.062237108540524 51.4428175855022, 0.063793036254052 51.4433774978417, 0.063793036254052 51.4444973019267, 0.062237108540524 51.445057193672))"
797,"POLYGON((0.105803084519288 51.445057193672, 0.10424715680576 51.4444973019267, 0.10424715680576 51.4433774978418, 0.105803084519288 51.4428175855022, 0.107359012232815 51.4433774978418, 0.107359012232815 51.4444973019267, 0.105803084519288 51.445057193672))"
798,"POLYGON((-0.189823181050893 51.445057193672, -0.191379108764421 51.4444973019267, -0.191379108764421 51.4433774978418, -0.189823181050893 51.4428175855022, -0.188267253337366 51.4433774978418, -0.188267253337366 51.4444973019267, -0.189823181050893 51.445057193672))"
799,"POLYGON((-0.065348963968712 51.445057193672, -0.066904891682239 51.4444973019267, -0.066904891682239 51.4433774978417, -0.065348963968712 51.4428175855022, -0.063793036255185 51.4433774978417, -0.063793036255185 51.4444973019267, -0.065348963968712 51.445057193672))"
800,"POLYGON((0.012447421707652 51.445057193672, 0.010891493994124 51.4444973019267, 0.010891493994124 51.4433774978418, 0.012447421707652 51.4428175855022, 0.014003349421179 51.4433774978418, 0.014003349421179 51.4444973019267, 0.012447421707652 51.445057193672))"
801,"POLYGON((-0.202270602759112 51.445057193672, -0.203826530472639 51.4444973019267, -0.203826530472639 51.4433774978418, -0.202270602759112 51.4428175855022, -0.200714675045584 51.4433774978418, -0.200714675045584 51.4444973019267, -0.202270602759112 51.445057193672))"
802,"POLYGON((-0.084020096531039 51.445057193672, -0.085576024244566 51.4444973019267, -0.085576024244566 51.4433774978418, -0.084020096531039 51.4428175855022, -0.082464168817512 51.4433774978418, -0.082464168817512 51.4444973019267, -0.084020096531039 51.445057193672))"
803,"POLYGON((-0.186711325623839 51.445057193672, -0.188267253337366 51.4444973019267, -0.188267253337366 51.4433774978418, -0.186711325623839 51.4428175855022, -0.185155397910312 51.4433774978418, -0.185155397910312 51.4444973019267, -0.186711325623839 51.445057193672))"
804,"POLYGON((-0.012447421708785 51.445057193672, -0.014003349422312 51.4444973019267, -0.014003349422312 51.4433774978418, -0.012447421708785 51.4428175855022, -0.010891493995257 51.4433774978418, -0.010891493995257 51.4444973019267, -0.012447421708785 51.445057193672))"
805,"POLYGON((-0.130697927936857 51.445057193672, -0.132253855650384 51.4444973019267, -0.132253855650384 51.4433774978418, -0.130697927936857 51.4428175855022, -0.12914200022333 51.4433774978418, -0.12914200022333 51.4444973019267, -0.130697927936857 51.445057193672))"
806,"POLYGON((-0.049789686833439 51.445057193672, -0.051345614546966 51.4444973019267, -0.051345614546966 51.4433774978418, -0.049789686833439 51.4428175855022, -0.048233759119912 51.4433774978418, -0.048233759119912 51.4444973019267, -0.049789686833439 51.445057193672))"
807,"POLYGON((0.084020096529906 51.445057193672, 0.082464168816379 51.4444973019267, 0.082464168816379 51.4433774978418, 0.084020096529906 51.4428175855022, 0.085576024243433 51.4433774978418, 0.085576024243433 51.4444973019267, 0.084020096529906 51.445057193672))"
808,"POLYGON((0.133809783362779 51.445057193672, 0.132253855649251 51.4444973019267, 0.132253855649251 51.4433774978418, 0.133809783362779 51.4428175855022, 0.135365711076306 51.4433774978418, 0.135365711076306 51.4444973019267, 0.133809783362779 51.445057193672))"
809,"POLYGON((-0.174263903915621 51.445057193672, -0.175819831629148 51.4444973019267, -0.175819831629148 51.4433774978418, -0.174263903915621 51.4428175855022, -0.172707976202093 51.4433774978418, -0.172707976202093 51.4444973019267, -0.174263903915621 51.445057193672))"
810,"POLYGON((0.087131951956961 51.445057193672, 0.085576024243433 51.4444973019267, 0.085576024243433 51.4433774978418, 0.087131951956961 51.4428175855022, 0.088687879670488 51.4433774978418, 0.088687879670488 51.4444973019267, 0.087131951956961 51.445057193672))"
811,"POLYGON((-0.143145349645075 51.445057193672, -0.144701277358602 51.4444973019267, -0.144701277358602 51.4433774978418, -0.143145349645075 51.4428175855022, -0.141589421931548 51.4433774978418, -0.141589421931548 51.4444973019267, -0.143145349645075 51.445057193672))"
812,"POLYGON((0.102691229092233 51.445057193672, 0.101135301378706 51.4444973019267, 0.101135301378706 51.4433774978418, 0.102691229092233 51.4428175855022, 0.104247156805761 51.4433774978418, 0.104247156805761 51.4444973019267, 0.102691229092233 51.445057193672))"
813,"POLYGON((-0.07779638567693 51.445057193672, -0.079352313390457 51.4444973019267, -0.079352313390457 51.4433774978417, -0.07779638567693 51.4428175855022, -0.076240457963403 51.4433774978418, -0.076240457963403 51.4444973019267, -0.07779638567693 51.445057193672))"
814,"POLYGON((-0.199158747332057 51.445057193672, -0.200714675045584 51.4444973019267, -0.200714675045584 51.4433774978418, -0.199158747332057 51.4428175855022, -0.19760281961853 51.4433774978418, -0.19760281961853 51.4444973019267, -0.199158747332057 51.445057193672))"
815,"POLYGON((-0.14625720507213 51.445057193672, -0.147813132785657 51.4444973019267, -0.147813132785657 51.4433774978418, -0.14625720507213 51.4428175855022, -0.144701277358602 51.4433774978418, -0.144701277358602 51.4444973019267, -0.14625720507213 51.445057193672))"
816,"POLYGON((-0.056013397687548 51.445057193672, -0.057569325401075 51.4444973019267, -0.057569325401075 51.4433774978417, -0.056013397687548 51.4428175855022, -0.054457469974021 51.4433774978418, -0.054457469974021 51.4444973019267, -0.056013397687548 51.445057193672))"
817,"POLYGON((0.021782987988815 51.445057193672, 0.020227060275288 51.4444973019267, 0.020227060275288 51.4433774978418, 0.021782987988815 51.4428175855022, 0.023338915702343 51.4433774978418, 0.023338915702343 51.4444973019267, 0.021782987988815 51.445057193672))"
818,"POLYGON((-0.034230409698166 51.445057193672, -0.035786337411694 51.4444973019267, -0.035786337411694 51.4433774978418, -0.034230409698166 51.4428175855022, -0.032674481984639 51.4433774978417, -0.032674481984639 51.4444973019267, -0.034230409698166 51.445057193672))"
819,"POLYGON((-0.155592771353293 51.445057193672, -0.157148699066821 51.4444973019267, -0.157148699066821 51.4433774978418, -0.155592771353293 51.4428175855022, -0.154036843639766 51.4433774978417, -0.154036843639766 51.4444973019267, -0.155592771353293 51.445057193672))"
820,"POLYGON((-0.006223710854676 51.445057193672, -0.007779638568203 51.4444973019267, -0.007779638568203 51.4433774978417, -0.006223710854676 51.4428175855022, -0.004667783141148 51.4433774978418, -0.004667783141148 51.4444973019267, -0.006223710854676 51.445057193672))"
821,"POLYGON((-0.118250506228639 51.445057193672, -0.119806433942166 51.4444973019267, -0.119806433942166 51.4433774978418, -0.118250506228639 51.4428175855021, -0.116694578515112 51.4433774978418, -0.116694578515112 51.4444973019267, -0.118250506228639 51.445057193672))"
822,"POLYGON((-0.074684530249875 51.445057193672, -0.076240457963403 51.4444973019267, -0.076240457963403 51.4433774978418, -0.074684530249875 51.4428175855022, -0.073128602536348 51.4433774978418, -0.073128602536348 51.4444973019267, -0.074684530249875 51.445057193672))"
823,"POLYGON((-0.124474217082748 51.445057193672, -0.126030144796275 51.4444973019267, -0.126030144796275 51.4433774978417, -0.124474217082748 51.4428175855022, -0.122918289369221 51.4433774978417, -0.122918289369221 51.4444973019267, -0.124474217082748 51.445057193672))"
824,"POLYGON((-0.040454120552276 51.445057193672, -0.042010048265803 51.4444973019267, -0.042010048265803 51.4433774978418, -0.040454120552276 51.4428175855022, -0.038898192838748 51.4433774978418, -0.038898192838748 51.4444973019267, -0.040454120552276 51.445057193672))"
825,"POLYGON((0.080908241102851 51.445057193672, 0.079352313389324 51.4444973019267, 0.079352313389324 51.4433774978418, 0.080908241102851 51.4428175855022, 0.082464168816379 51.4433774978418, 0.082464168816379 51.4444973019267, 0.080908241102851 51.445057193672))"
826,"POLYGON((0.034230409697033 51.445057193672, 0.032674481983506 51.4444973019267, 0.032674481983506 51.4433774978417, 0.034230409697033 51.4428175855022, 0.035786337410561 51.4433774978418, 0.035786337410561 51.4444973019267, 0.034230409697033 51.445057193672))"
827,"POLYGON((0.006223710853543 51.445057193672, 0.004667783140015 51.4444973019267, 0.004667783140015 51.4433774978418, 0.006223710853543 51.4428175855022, 0.00777963856707 51.4433774978417, 0.00777963856707 51.4444973019267, 0.006223710853543 51.445057193672))"
828,"POLYGON((-0.028006698844057 51.445057193672, -0.029562626557585 51.4444973019267, -0.029562626557585 51.4433774978418, -0.028006698844057 51.4428175855022, -0.02645077113053 51.4433774978418, -0.02645077113053 51.4444973019267, -0.028006698844057 51.445057193672))"
829,"POLYGON((0.115138650800451 51.445057193672, 0.113582723086924 51.4444973019267, 0.113582723086924 51.4433774978418, 0.115138650800451 51.4428175855022, 0.116694578513979 51.4433774978418, 0.116694578513979 51.4444973019267, 0.115138650800451 51.445057193672))"
830,"POLYGON((-0.168040193061512 51.445057193672, -0.169596120775039 51.4444973019267, -0.169596120775039 51.4433774978418, -0.168040193061512 51.4428175855022, -0.166484265347984 51.4433774978418, -0.166484265347984 51.4444973019267, -0.168040193061512 51.445057193672))"
831,"POLYGON((-0.11202679537453 51.445057193672, -0.113582723088057 51.4444973019267, -0.113582723088057 51.4433774978418, -0.11202679537453 51.4428175855022, -0.110470867661003 51.4433774978418, -0.110470867661003 51.4444973019267, -0.11202679537453 51.445057193672))"
832,"POLYGON((-0.136921638790966 51.445057193672, -0.138477566504493 51.4444973019267, -0.138477566504493 51.4433774978417, -0.136921638790966 51.4428175855022, -0.135365711077439 51.4433774978417, -0.135365711077439 51.4444973019267, -0.136921638790966 51.445057193672))"
833,"POLYGON((0.065348963967579 51.445057193672, 0.063793036254052 51.4444973019267, 0.063793036254052 51.4433774978417, 0.065348963967579 51.4428175855022, 0.066904891681106 51.4433774978417, 0.066904891681106 51.4444973019267, 0.065348963967579 51.445057193672))"
834,"POLYGON((-0.018671132562894 51.445057193672, -0.020227060276421 51.4444973019267, -0.020227060276421 51.4433774978418, -0.018671132562894 51.4428175855022, -0.017115204849366 51.4433774978418, -0.017115204849366 51.4444973019267, -0.018671132562894 51.445057193672))"
835,"POLYGON((0.02489484341587 51.445057193672, 0.023338915702343 51.4444973019267, 0.023338915702343 51.4433774978418, 0.02489484341587 51.4428175855022, 0.026450771129397 51.4433774978418, 0.026450771129397 51.4444973019267, 0.02489484341587 51.445057193672))"
836,"POLYGON((-0.164928337634457 51.445057193672, -0.166484265347984 51.4444973019267, -0.166484265347984 51.4433774978418, -0.164928337634457 51.4428175855021, -0.16337240992093 51.4433774978418, -0.16337240992093 51.4444973019267, -0.164928337634457 51.445057193672))"
837,"POLYGON((-0.037342265125221 51.445057193672, -0.038898192838748 51.4444973019267, -0.038898192838748 51.4433774978418, -0.037342265125221 51.4428175855022, -0.035786337411694 51.4433774978418, -0.035786337411694 51.4444973019267, -0.037342265125221 51.445057193672))"
838,"POLYGON((-0.087131951958094 51.445057193672, -0.088687879671621 51.4444973019267, -0.088687879671621 51.4433774978418, -0.087131951958094 51.4428175855022, -0.085576024244566 51.4433774978418, -0.085576024244566 51.4444973019267, -0.087131951958094 51.445057193672))"
839,"POLYGON((0.118250506227506 51.445057193672, 0.116694578513979 51.4444973019267, 0.116694578513979 51.4433774978418, 0.118250506227506 51.4428175855022, 0.119806433941033 51.4433774978418, 0.119806433941033 51.4444973019267, 0.118250506227506 51.445057193672))"
840,"POLYGON((-0.046677831406385 51.445057193672, -0.048233759119912 51.4444973019267, -0.048233759119912 51.4433774978418, -0.046677831406385 51.4428175855022, -0.045121903692857 51.4433774978418, -0.045121903692857 51.4444973019267, -0.046677831406385 51.445057193672))"
841,"POLYGON((0.096467518238124 51.445057193672, 0.094911590524597 51.4444973019267, 0.094911590524597 51.4433774978418, 0.096467518238124 51.4428175855022, 0.098023445951651 51.4433774978418, 0.098023445951651 51.4444973019267, 0.096467518238124 51.445057193672))"
842,"POLYGON((-0.177375759342675 51.445057193672, -0.178931687056203 51.4444973019267, -0.178931687056203 51.4433774978417, -0.177375759342675 51.4428175855022, -0.175819831629148 51.4433774978418, -0.175819831629148 51.4444973019267, -0.177375759342675 51.445057193672))"
843,"POLYGON((-0.149369060499184 51.445057193672, -0.150924988212712 51.4444973019267, -0.150924988212712 51.4433774978418, -0.149369060499184 51.4428175855022, -0.147813132785657 51.4433774978418, -0.147813132785657 51.4444973019267, -0.149369060499184 51.445057193672))"
844,"POLYGON((-0.183599470196784 51.445057193672, -0.185155397910312 51.4444973019267, -0.185155397910312 51.4433774978418, -0.183599470196784 51.4428175855022, -0.182043542483257 51.4433774978418, -0.182043542483257 51.4444973019267, -0.183599470196784 51.445057193672))"
845,"POLYGON((-0.024894843417003 51.445057193672, -0.02645077113053 51.4444973019267, -0.02645077113053 51.4433774978418, -0.024894843417003 51.4428175855022, -0.023338915703476 51.4433774978418, -0.023338915703476 51.4444973019267, -0.024894843417003 51.445057193672))"
846,"POLYGON((-0.133809783363912 51.445057193672, -0.135365711077439 51.4444973019267, -0.135365711077439 51.4433774978417, -0.133809783363912 51.4428175855022, -0.132253855650384 51.4433774978418, -0.132253855650384 51.4444973019267, -0.133809783363912 51.445057193672))"
847,"POLYGON((0.071572674821688 51.445057193672, 0.070016747108161 51.4444973019267, 0.070016747108161 51.4433774978417, 0.071572674821688 51.4428175855022, 0.073128602535215 51.4433774978418, 0.073128602535215 51.4444973019267, 0.071572674821688 51.445057193672))"
848,"POLYGON((-0.099579373666312 51.445057193672, -0.101135301379839 51.4444973019267, -0.101135301379839 51.4433774978418, -0.099579373666312 51.4428175855022, -0.098023445952784 51.4433774978418, -0.098023445952784 51.4444973019267, -0.099579373666312 51.445057193672))"
849,"POLYGON((-0.04356597597933 51.445057193672, -0.045121903692857 51.4444973019267, -0.045121903692857 51.4433774978418, -0.04356597597933 51.4428175855022, -0.042010048265803 51.4433774978418, -0.042010048265803 51.4444973019267, -0.04356597597933 51.445057193672))"
850,"POLYGON((-0.00933556628173 51.445057193672, -0.010891493995257 51.4444973019267, -0.010891493995257 51.4433774978418, -0.00933556628173 51.4428175855022, -0.007779638568203 51.4433774978417, -0.007779638568203 51.4444973019267, -0.00933556628173 51.445057193672))"
851,"POLYGON((-0.161816482207402 51.445057193672, -0.16337240992093 51.4444973019267, -0.16337240992093 51.4433774978418, -0.161816482207402 51.4428175855022, -0.160260554493875 51.4433774978418, -0.160260554493875 51.4444973019267, -0.161816482207402 51.445057193672))"
852,"POLYGON((0.028006698842924 51.445057193672, 0.026450771129397 51.4444973019267, 0.026450771129397 51.4433774978418, 0.028006698842924 51.4428175855022, 0.029562626556452 51.4433774978418, 0.029562626556452 51.4444973019267, 0.028006698842924 51.445057193672))"
853,"POLYGON((0.018671132561761 51.445057193672, 0.017115204848233 51.4444973019267, 0.017115204848233 51.4433774978418, 0.018671132561761 51.4428175855022, 0.020227060275288 51.4433774978418, 0.020227060275288 51.4444973019267, 0.018671132561761 51.445057193672))"
854,"POLYGON((0.112026795373397 51.445057193672, 0.11047086765987 51.4444973019267, 0.11047086765987 51.4433774978417, 0.112026795373397 51.4428175855022, 0.113582723086924 51.4433774978418, 0.113582723086924 51.4444973019267, 0.112026795373397 51.445057193672))"
855,"POLYGON((0.031118554269979 51.445057193672, 0.029562626556452 51.4444973019267, 0.029562626556452 51.4433774978418, 0.031118554269979 51.4428175855022, 0.032674481983506 51.4433774978417, 0.032674481983506 51.4444973019267, 0.031118554269979 51.445057193672))"
856,"POLYGON((0.077796385675797 51.445057193672, 0.07624045796227 51.4444973019267, 0.07624045796227 51.4433774978418, 0.077796385675797 51.4428175855022, 0.079352313389324 51.4433774978418, 0.079352313389324 51.4444973019267, 0.077796385675797 51.445057193672))"
857,"POLYGON((-0.108914939947475 51.445057193672, -0.110470867661003 51.4444973019267, -0.110470867661003 51.4433774978418, -0.108914939947475 51.4428175855022, -0.107359012233948 51.4433774978418, -0.107359012233948 51.4444973019267, -0.108914939947475 51.445057193672))"
858,"POLYGON((-0.031118554271112 51.445057193672, -0.032674481984639 51.4444973019267, -0.032674481984639 51.4433774978417, -0.031118554271112 51.4428175855022, -0.029562626557585 51.4433774978418, -0.029562626557585 51.4444973019267, -0.031118554271112 51.445057193672))"
859,"POLYGON((0.037342265124088 51.445057193672, 0.035786337410561 51.4444973019267, 0.035786337410561 51.4433774978418, 0.037342265124088 51.4428175855022, 0.038898192837615 51.4433774978418, 0.038898192837615 51.4444973019267, 0.037342265124088 51.445057193672))"
860,"POLYGON((-0.003111855427621 51.445057193672, -0.004667783141148 51.4444973019267, -0.004667783141148 51.4433774978418, -0.003111855427621 51.4428175855022, -0.001555927714094 51.4433774978418, -0.001555927714094 51.4444973019267, -0.003111855427621 51.445057193672))"
861,"POLYGON((-0.18048761476973 51.445057193672, -0.182043542483257 51.4444973019267, -0.182043542483257 51.4433774978418, -0.18048761476973 51.4428175855022, -0.178931687056203 51.4433774978417, -0.178931687056203 51.4444973019267, -0.18048761476973 51.445057193672))"
862,"POLYGON((-0.192935036477948 51.445057193672, -0.194490964191475 51.4444973019267, -0.194490964191475 51.4433774978418, -0.192935036477948 51.4428175855022, -0.191379108764421 51.4433774978418, -0.191379108764421 51.4444973019267, -0.192935036477948 51.445057193672))"
863,"POLYGON((0.09335566281107 51.445057193672, 0.091799735097542 51.4444973019267, 0.091799735097542 51.4433774978418, 0.09335566281107 51.4428175855022, 0.094911590524597 51.4433774978418, 0.094911590524597 51.4444973019267, 0.09335566281107 51.445057193672))"
864,"POLYGON((-0.121362361655693 51.445057193672, -0.122918289369221 51.4444973019267, -0.122918289369221 51.4433774978417, -0.121362361655693 51.4428175855022, -0.119806433942166 51.4433774978418, -0.119806433942166 51.4444973019267, -0.121362361655693 51.445057193672))"
865,"POLYGON((-0.140033494218021 51.445057193672, -0.141589421931548 51.4444973019267, -0.141589421931548 51.4433774978418, -0.140033494218021 51.4428175855021, -0.138477566504493 51.4433774978417, -0.138477566504493 51.4444973019267, -0.140033494218021 51.445057193672))"
866,"POLYGON((-0.093355662812203 51.445057193672, -0.09491159052573 51.4444973019267, -0.09491159052573 51.4433774978417, -0.093355662812203 51.4428175855022, -0.091799735098675 51.4433774978418, -0.091799735098675 51.4444973019267, -0.093355662812203 51.445057193672))"
867,"POLYGON((-0.171152048488566 51.445057193672, -0.172707976202093 51.4444973019267, -0.172707976202093 51.4433774978418, -0.171152048488566 51.4428175855022, -0.169596120775039 51.4433774978418, -0.169596120775039 51.4444973019267, -0.171152048488566 51.445057193672))"
868,"POLYGON((-0.096467518239257 51.445057193672, -0.098023445952784 51.4444973019267, -0.098023445952784 51.4433774978418, -0.096467518239257 51.4428175855022, -0.09491159052573 51.4433774978417, -0.09491159052573 51.4444973019267, -0.096467518239257 51.445057193672))"
869,"POLYGON((0.124474217081615 51.445057193672, 0.122918289368088 51.4444973019267, 0.122918289368088 51.4433774978418, 0.124474217081615 51.4428175855022, 0.126030144795142 51.4433774978418, 0.126030144795142 51.4444973019267, 0.124474217081615 51.445057193672))"
870,"POLYGON((-0.080908241103984 51.445057193672, -0.082464168817512 51.4444973019267, -0.082464168817512 51.4433774978418, -0.080908241103984 51.4428175855022, -0.079352313390457 51.4433774978417, -0.079352313390457 51.4444973019267, -0.080908241103984 51.445057193672))"
871,"POLYGON((0.040454120551142 51.445057193672, 0.038898192837615 51.4444973019267, 0.038898192837615 51.4433774978418, 0.040454120551142 51.4428175855022, 0.04201004826467 51.4433774978418, 0.04201004826467 51.4444973019267, 0.040454120551142 51.445057193672))"
872,"POLYGON((-0.062237108541657 51.445057193672, -0.063793036255185 51.4444973019267, -0.063793036255185 51.4433774978417, -0.062237108541657 51.4428175855022, -0.06068118082813 51.4433774978417, -0.06068118082813 51.4444973019267, -0.062237108541657 51.445057193672))"
